title,description,full-description,aow,riasec,category,image,new
Integrated energy systems strategist,"Integrated energy systems strategists will design urban energy systems that are efficient, sustainable and safe.","Employed at city or regional level, the Integrated Energy Systems Strategist works with the Regional and Local community growth co-ordinators, energy and data systems installers, human habitat designers and Sustainable Energy Solution Engineers to design urban energy systems that are efficient, sustainable and safe.
They bring deep knowledge of people’s energy needs in the local area together with the environmental affordances of the local area to design a high-level plan for energy systems across the regions. Working with the Sustainable Energy Solution Engineers the resources of an area will be considered in energy generation (such as the wind, sun, wave, water access). They may order retrofit programs for existing energy systems to upgrade to renewables to bring all localised systems up to required standard.
The Integrated Energy Systems Strategist will have a high-level role in determining how energy systems are integrated and managed. They will be leaders with skills in managing people and complex ideas and systems. They will be policy enforcers and politically savvy.","AOW1, AOW8, AOW10, AOW11, AOW14",I,urban,,new
Integrated home technology brokers,"Integrated home technology brokers will work with households to design home support solutions that include household robots, data management and privacy, body implants for family members, and home controls.","Integrated Home Technology Brokers will work with households to design home support solutions that include household robots, data management and privacy, body implants for family members, and home controls.
People will own smart houses, which provide comforts and adjustments depending on the needs of individual family members.
Body implants will monitor physical needs.
Robots of different kinds will provide home maintenance and domestic support.
Integrated home technology brokers observe the family at home, and talk with them to identify their home technology needs. They then design the right kinds of home technology packages to meet those needs, and help support families to understand, adjust to, and interact with, their new home solutions.
Integrated Home Technology Brokers will have up-to-the-minute knowledge of the latest home technologies, including body implants, smart home devices, domestic robots, and data management and privacy solutions.
They have skills in digital systems integration, and user interface/user experience design. They need strong interpersonal and analytical skills, to observe households and identify their technology support needs.","AOW1, AOW18","I, S, C",tech,,new
Lifelong education advisor,Lifelong education advisors will help people develop their careers and stay up to date with training and technology advances.,"Increasingly, people will have multiple careers over their lifetime.
Even if they stay within one career path, with the constant introduction of new technological solutions and changing social realities, the need for constant updating of skills and retraining will become a feature of a life’s work.
With this, education and training pathways will become more complex, with a diversity in providers, especially those focused on short term targeted credentialing.
Lifelong Education Advisor will help clients with the best stackable and transferable micro-credentials that have industry currency, while providing individuals and groups advice on emerging career paths, and how to stay abreast of advances in technology.
A Lifelong Education Advisor will also help with the curation of informal learning opportunities.
A Lifelong Education Advisor will have the skills to keep abreast of social and technological movements and movements in industry credentialing, and will need strong human skills to be able to ascertain their clients’ skills, interests and dispositions, and the ability to communicate possibilities effectively. They will need a combination of technology and human skills to be able to match people with the possible applications of the latest software advances, and industrial/commercial innovations.","AOW6, AOW8","S, I",people,,new
Local community co-ordinator,Local community co-ordinators will organise activities to help communities and residents come together and thrive.,"Local Community Co-ordinators (Lococos) will be there to bring small communities/neighbourhoods together, and co-ordinate activities that help the community and its residents thrive.
There will be widespread understanding that if people live in strong local communities, then they will be healthier and happier.
Technological advances in at-home solar and wind power, corner shop 3D printing, and urban farming will strengthened the localisation movement.
The Local Community Co-ordinator facilitates all of these functions, and will help to find solutions to local problems. They will be responsible for bringing people together to socialise and to pursue shared interests and hobbies, fostering intercultural and intergenerational understanding, and building happiness at a local level.
Local Community Co-ordinators will know everyone in the community, and are there to help people who are having a tough time by drawing them in to the support networks of the community.
Local Community Co-ordinators will be extremely social people, with high levels of empathy. They have backgrounds in social work or community cultural development, and have skills in negotiation. They will be familiar with the latest trends in community building, local energy and waste practices, and procurement.","AOW1, AOW4, AOW8","S, E",people,,new
Machine-learning developer,Machine-learning developers will work with artificial intelligence to create and refine computer systems that learn new processes without human intervention.,"Machine learning (ML) is a type of artificial intelligence (AI) that enables computer systems to learn from data to modify and improve an algorithm without needing human intervention to update or rebuild the model.
ML automates the process of modifying a mathematical model as new patterns emerge in data as the system it is analysing evolves and changes over time.
This form of AI gives an analytical computer model the ability to self-learn, adapt and respond in real-time so it is continually optimising its performance.
In a world where personalisation and responsiveness are highly valued, Machine- Learning Developers will be highly sought after across all industries.
Machine-Learning Developers will be computer scientists with expertise in software engineering and data science. In addition to having these highly specialised technical skills, Machine-Learning Developers need to be creative, have a deep understanding of the problem domain their models are analysing, appreciate the legal and ethical requirements with regard to data privacy and guard against the system developing illegal, unethical, or antisocial traits.",AOW17,"I, C",tech,,
Massive 3D printed building designer,Massive 3D printed building designers will design and build large structures using 3D printing technology.,"Large scale 3D printers efficiently and effectively construct houses in two days and high-rise buildings in four weeks by working around the clock.
While technicians are employed to maintain 3D printers the key to the success of this practice is the Massive 3D Printed Building Designer.
Carefully planning the construction and designing the print from the bottom up, requires skills in engineering design, visual creativity and digital dexterity. The materials for construction are recovered from waste or recycled from the demolition of previous constructions and will be designed to harden quickly, generating solid, reliable structures.
New technologies are used to ensure these quickly constructed buildings provide insulation, water collection, small scale food production, and waste management. The Massive 3D Printed Building Designer works alongside smart city designers, landscape architects, energy and data systems installers, construction engineers, and 3D printer handlers.
Massive 3D Printed Building Designers will have a well-developed understanding of materials science to ensure that the recycled products perform to high standards. They will also have a strong sense of aesthetics to ensure they are architecturally creative and curious in their use of their high level visual- spatial skills. The designers will adapt clients’ ideas into practical reality demonstrating their high-level communication skills. Massive 3D Printed Building Designers will be able to transfer theoretical knowledge to practical application.","AOW11, AOW19","I, A",urban,,new
Mechatronics engineer,Mechatronic engineers will build and optimise robots.,"Mechatronics Engineers will build and optimise robots.
With skill sets that integrate knowledge from mechanics, electronics, control theory, and computer design, their aim is to optimise a robot’s ability to do the job it was built for.
There are many types of robots, but all have mechanical construction, electrical components, and computer programming code. In the future, nearly all robots have artificial intelligence coding, which means that they can learn and interact with their environment without being directly controlled by humans.
Many robots from the future will be bio- inspired, including robots that resemble humans, animals and plants in different ways. The reason for this is that there is recognition that nature’s engineering structures and processes often provide optimal ways of doing things.
Robots will be found everywhere — they provide security, assistance and support to people, and do physical tasks such as maintaining farming equipment or cleaning. Mechatronics Engineers will have excellent technical skills, including disciplinary backgrounds in mechanical engineering, electronics, and computing. They will be good problem-solvers, will have specific knowledge of industry standards, and will be comfortable working with computers. They will be logical thinkers who are good at maths, and often will have high levels of practical capability, and attention to detail.","AOW14, AOW15, AOW16, AOW17, AOW18, AOW19","I, C, R",tech,,
Media remixer,Media remixers will combine a variety of media from across time to create blended one-of-a-kind products or experiences.,"With individuals having access to a plethora of media, a Media Remixer will combine a variety of media from across time to create blended one-of-a-kind products or experiences.
The remix will combine video, audio, images and augmented reality to create artefacts such as marketing campaigns, educational tools, wedding montages, entertainment and bespoke experiences such as installation art or travel adventures.
A Media Remixer’s work will communicate their unique remix style and personal brand, and they will build a niche client base.
Media Remixers will work in a freelance capacity working on a portfolio of projects for a range of clients at the same time.
A Media Remixer will be both an artist and a producer with a passion for creativity and, skills and expertise in digital media. They will also need to be entrepreneurial and have business development and sales skills. Many will have a secondary skill set and domain expertise that enables them to specialise in particular artefacts or experiences. A Media Remixer will need to invest in developing their personal brand and a profile to communicate their unique remix style, build reputation and grow their target market.","AOW2, AOW4, AOW12, AOW15, AOW17","A, E",ex,,
Memory optimiser,"Memory optimisers will augment people's working memory capacities through digital implant technologies, and judicious memory erasure.","Information overload can be a challenge. Throughout the day, people are constantly ‘plugged in’ to augmented reality-based personalised information and news feeds, and are exposed to a wide array of digital visual and multisensory input.
Some people may need periods of time where they ‘unplug’, possibly with the support of an analogue experience guide. Others find that their day-to-day ability to process the data that they receive is insufficient.
The Memory Optimiser augments people’s working memory capacities through digital implant technologies, and can also free up existing capacity through judicious memory erasure.
The Memory Optimiser needs to be very careful about using these techniques, as there can be serious psychological and cognitive processing consequences both for people who are amnesic (that is, who have gaps in memory) and for those who are hyperthymesic (that is, who remember too much). They identify the right implant or memory erasure technique, and then design an integrated memory solution for the client. They do not operate on the patient themselves, but instead work as part of a team that includes bio-engineers, implant and erasure surgeons, and cognitive psychologists. Memory Optimisers will be specialists in cognitive psychology, with an emphasis on memory function. They will be familiar with digital memory enhancement and erasure techniques and technologies, and know how to use both to create an integrated memory solution. They problem-solve with excellent attention to detail, with educational backgrounds in biotechnology and brain architecture.","AOW8, AOW14",I,health,,
Multisensory experience designer,"Multisensory experience designers will bring together virtual reality, haptic and biofeedback/biometric technologies to create fully immersive basis of games and leisure activities, marketing campaigns, and education/training.","Multisensory Experience Designers bring together virtual reality, haptic and biofeedback/biometric technologies to create fully immersive basis of games and leisure activities, marketing campaigns, and education/training.
They work in teams with specialists in each of these fields to create experiences that are indistinguishable from the physical world, or alternatively that are incredibly different from the physical world, but are still ‘hyperreal’.
Multisensory Experience Designers know that while vision and hearing are the most dominant senses, a truly immersive experience also needs to have elements of touch and even smell to bring it to life. They make the most of implants that most people have in their central nervous systems to simulate certain elements of the experience, as well as implanted eye lenses, and ultrasonic waves for touch.
Multisensory Experience Designers will be very good at ‘visualising’ experiences across multiple senses. Using biofeedback mechanisms and tools, they will create personalised experiences for users. They will have backgrounds in user interface and user experience design, along with coding and human psychophysiology. Multisensory experience designers will need to be good team workers and have reasonable knowledge of haptic, virtual reality, and biometric technologies.","AOW2, AOW4, AOW15, AOW17","A, I",ex,,
Nanomedical engineer,Nanomedical engineers will design and plan personalised medical treatments that use nanoparticles.,"Nanomedical Engineers design and plan personalised medical treatments that use nanoparticles.
Nanoparticles are microscopic particles that can be tailored to detect and target viruses and cancer cells, and to create images of diseased parts of the human body to help diagnosis (similar to smart dust, only much smaller). Some nanoparticles called nanocages can also carry treatments for diseases, such as chemotherapy molecules. Others can target and destroy blood clots that have formed in the wrong places inside the body.
Nanomedical Engineers will have knowledge across engineering, medicine and science, specialising in biochemistry and nanoengineering. Given data about a patient’s health and a diagnosis, they will fabricate the right type of nanoparticle for the task, and functionalise it ready for use, by bioconjugating molecules to surfaces or particles. They will work in a team of nanoparticle engineers, nanoparticle diagnosticians, and nanoparticle pharmacy specialists, so will need strong teamwork skills as well as highly developed analytical skills.","AOW8, AOW14","I, C",health,NanoMedicalEng.jpg,
Net positive architect,Net positive architects will design building solutions to create viable and responsible commercial buildings or houses.,"With new materials, intelligent design and integrated sensor systems, buildings will be designed to produce more energy and water than they consume.
New rooftop photo-voltaic systems, and other onsite energy production and storage, intelligent building materials that insulate, produce energy and monitor the building environment, and advanced analytics software, allow buildings to be run such that they are suppliers to the national energy grid.
A Net Positive Architect will design building solutions, working with clients, software engineers and materials engineers, to create viable and responsible commercial buildings or houses.
The Net Positive Architect will have spatial design skills combined with knowledge of new materials, green building processes and software solutions. They will have communication skills as they work with other professionals and with clients to create solutions that are innovative and attend to specific needs.","AOW10, AOW11, AOW14, AOW15, AOW16, AOW17","A, I, C",urban,,new
New materials engineer ,New materials engineers will create innovative applications for cutting-edge materials and technology.,"Frontier materials, such as carbon nanotubes, aerogel, transparent aluminium or e-textiles, will transform the way we relate to everyday items.
New Materials Engineers will combine STEM discipline knowledge with creative ideas for applications that can improve lives.
These may include silk implants for damaged eardrums; strong, lightweight materials that save energy; or materials that can be recycled many times across their lives.
A New Materials Engineer will work in cross- disciplinary teams that combine science, engineering, computing, marketing, and social science. They could work for dedicated companies or be freelance, offering their skills to teams centred around product design.
A New Materials Engineer will have strong STEM disciplinary knowledge combined with computing skills and a creative, entrepreneurial outlook. They will need strong people skills to work in cross-disciplinary teams, and insight into human needs.",AOW19,"I, C, S",tech,,
Nostalgist,Nostalgists will recreate remembered experiences for the elderly.,"A Nostalgist works to recreate remembered experiences for the elderly.
Because people are so long lived, there will be a strong trade in recreating the best parts of life for people from 80 or 100 years ago.
Nostalgists can help people who suffer from dementia feel safer and happier, by building environments and experiences resembling the past and therefore familiar.
Nostalgists combine interior design expertise with personal digital research to design a personalised experience for their clients. People may wish to live in environments designed by Nostalgists, or to visit them virtually with the assistance of a virtual reality experience creator.
Nostalgists have excellent digital research skills, and will be good at listening to people to elicit details of the required memories. They have a strong command of interior and environmental design, and may collaborate with other professionals, such as, Virtual Reality Experience Creators and Aged Health Carers. A love of history and an eye for historical detail will be essential in this role.","AOW5, AOW6, AOW8, AOW15","S, A, I",people,Nostalgist.jpg,new
Nutri-gutome consultant ,Nutri-gutome consultants will support people's health by managing the bacteria in the human digestive tract.,"Nutri-gutome Consultants will be experts at optimising people’s health by working on, and through, the human digestive tract and the trillions of microorganisms (mostly bacteria) living within it.
The bacteria are involved in food digestion and absorbing nutrients from food, but they are also important to wider processes such as immune regulation and brain function.
Nutri-gutome Consultants will be known colloquially as ‘gut-bug keepers’, but their role will be very important — they will monitor the health of the bacteria and the digestive tract. If dysbiosis (an imbalance of bacteria) is found, they will design and implement interventions to ensure rebalancing. These solutions will include change of diet, pre- and probiotic administration, and microbiota cultivation and transplantation.
Nutri-gutome Consultants will work with body sensors and algorithmic analysis to identify dysbiosis and restore health.
Nutri-gutome consultants have a background in human biology and health science. They often have an interest in nutrition and dietetics, and all have knowledge and skills in microbiology and biotechnology. They have good attention to detail and analytical skills, as well as problem- solving capabilities.","AOW8, AOW9, AOW14, AOW15, AOW18","A, I, C",health,,
Offworld habitat designer,Offworld habitat designers will create habitable buildings and environments on other planets.,"As humans continue to explore space, plans to colonise other planets and moons will be developed.
Offworld Habitat Designers work with other specialists and scientists, such as the Terraforming Microbiologist, to build habitable buildings on other worlds. Beginning with scientific space stations but soon moving into tourism, Mars was the first planet to be offworld colonised, and several space stations are already in development with other planets and moons following after.
There is a need to design complete habitats for these offworld environments. This includes: points of interest, things to do (ranging from sport to adventure to exploring), accommodations and restaurants, along with all of the necessary support structures and infrastructures to manage and maintain.
The new habitats are designed to complement existing ecologies, so the Offworld Habitat Designers need to have high-level ecological awareness to ensure that comparable systems are put in place and local aspects are used within the new habitat design. Most existing habitat elements are hostile to human habitation. How do we ensure that the gravitational force in the area is suitable and stable? How do we protect people from radiation? How can we ensure an optimal mix of breathable air? These factors are at the forefront of the designers’ minds, something that Earth habitat designers don’t ever have to worry about. The Offworld Habitat Designer will have ecological and architectural skills and understandings and be creative in how they meet the challenges and possibilities in offworld locations. They will also have high level-communication skills as they will be designing alongside others.","AOW4, AOW11, AOW13, AOW14, AOW16, AOW19","A, I",space,,new
Personal brand manager & content curator,Personal brand managers and content creators will help people market themselves and their personal brand using digital technologies.,"A Personal Brand Manager and Content Creator will work with people to market themselves using digital tools.
The Brand Manager helps people to discover what their career aspirations are, and then constructs an avatar (virtual self) that aligns with this. They will design a brand and digital presence for the person, including curating artefacts such as images and 3D video of the person, building social networks and making posts to build that person’s social media influence.
Personal Brand Manager and Content Creators need to have written, oral and visual communication skills, to create a persona for someone else. They need to be able to listen to their clients to discover what their career plans are. They need to have skills and knowledge about social media platforms, as well as specialist knowledge about marketing, branding, and career opportunities. Advanced skills with digital media such as holographics, 3D video, and augmented reality will also be needed.","AOW2, AOW15","A, S",people,,
Personalised marketer,Personalised marketers will develop and implement marketing strategies that can market products with individualised content tailored to an individual person.,"Personalised Marketers develop and implement marketing strategies that use individualised content to market products, services and experiences to people and their automated decision support systems.
Through personal data collection based on body and behaviour sensors, and monitoring communities and the environment, Personalised Marketers find clever ways to engage people and influence their behaviour.
Personalised Marketers can work for marketing and advertising agencies, inside big companies, as freelancers, or for the government. They use algorithmic tools to figure out what people are interested in and motivated by, and match this up with advertising that will work for those people.
Personalised Marketers will be good at data analysis, and using automated tools to assist them with analysis. They will have educational backgrounds in marketing and advertising, and have knowledge of cross-platform marketing tools (such as augmented reality, personalised recommendation systems, and social media). They will create compelling stories, while having a deep understanding of what motivates consumer behaviour.","AOW2, AOW14, AOW17","E, S, A, I",buslaw,,
Predictive regulation analyst,"Predictive regulation analysts will forecast which aspects of upcoming changes to technology, business, society and the environment need government regulation.","Predictive Regulation Analysts forecast which aspects of upcoming changes to technology, business, society and the environment need government regulation, and to prompt government to put pre-emptive new laws and other measures in place if needed.
Predictive regulation analysts work inside government regulatory authorities that oversee commerce, enforce quality standards, safety, and use of resources. They use artificial intelligence algorithms to help them predict changes out in the world, although much of what they do is about interacting with businesses and technology companies in person to identify what the next big developments are going to be.
They make recommendations to government about changes that need to be made to existing regulations, or new laws that need to be drafted. For instance, in the early 21st century, the rapid introduction of Uber (peer-to-peer ridesharing) into the personal transport market meant that governments did not have enough of the right kinds of regulations to make sure that Uber drivers and passengers were safe and protected financially, and that the company was paying taxes on the income it was making. In the future, this kind of situation is very unlikely to occur, because Predictive Regulation Analysts can see when something is likely to change, and will ask the government to change regulations quickly.
Predictive Regulation Analysts will be experts in the laws and regulations operating in their jurisdictions. They will be familiar with the systems and processes of law, and able to use algorithmic tools to help them predict developments. They will be decisive, and have excellent oral communication skills to find out what is happening in an industry, and written communication skills to write briefs for governments recommending law changes. Most importantly, they will have strong knowledge of technological, social and business trends, and be able to use this knowledge to identify what will be happening next.","AOW6, AOW7, AOW12","C, E, S",data,,new
Quantum computer programmer,Quantum computer programmers will use high speed computers to solve complex and novel problems.,"Quantum computers use atomic quantum states in very low temperature devices, programmed using multiple laser beams, with interactions at the level of individual atoms.
Quantum computers make use of the rules of quantum mechanics to process information. In classical computers, processing is linear and sequential. But quantum computers rely on simultaneous superpositions of many inputs at once. Quantum computing speeds up processing exponentially over classical computers.
The different mode of logic functioning of quantum computers make them ideal for certain applications — artificial intelligence, cryptography, molecular modelling, medical diagnostics, weather prediction, financial modelling. They can seamlessly encrypt data to solve complex problems that even the most powerful supercomputers of the early 21st century could not.
Quantum computers operate with specialised programming languages, and Quantum Computer Programmers versed in these will apply their expertise to new and more complex problems. Their power and complexity will also represent challenges, and there will be a need for a strong core discipline of Quantum Computer Programmers who really understand how to creatively write error correction software for quantum computer applications.
Quantum Computer Programmers will need high level coding skills which imply clear problem analysis for the creation of complex algorithms. They will need human skills to interface with engineers and understand the particular structure of the problems that require solution. They will need patience and persistence.","AOW14, AOW17, AOW18","I, C",tech,,
Real-virtual transfer shop manager,Real-virtual transfer shop managers will use 3D printing and other technologies to create physical versions of virtual objects (and vice versa).,"As people spend more and more time in virtual and augmented reality, they want virtual versions of the objects, clothing, and furniture that they own in physical (‘real’) life.
They also want to be able to take home physical versions of things they have encountered in the augmented or virtual world.
The Real-Virtual Transfer Shop Manager will make this happen, by using 3D-printing and other advanced fabrication methods to create physical versions of virtual objects, and scanning/design tools to create virtual versions of physical ones.
The Real-Virtual Transfer shop will have self- service options for people who want a direct and simple transfer of an object.
The Real-Virtual Transfer Shop Manager will deal with very large and more complicated service requests.
The Real-Virtual Transfer Shop Manager will have good attention to detail, and excellent digital design skills. They will be able to use 3D printers and fabrication machines. They will have well developed interpersonal skills, to listen carefully to clients’ needs, and problem- solving capabilities.","AOW1, AOW2, AOW15, AOW19","R, S, C",buslaw,,new
Regional community growth co-ordinator,Regional community growth co-ordinators will support people looking to transition from urban to regional living.,"Although urban living in smart cities remains the popular choice, many are looking for something different. With connectivity now in place in all areas across the world including remote and rural areas, working online while living in rural settings is attractive to many. No more commuting while living and working in one place reduces infrastructure and ensures a significant cost saving to organisations.
However, the transition to regional living can be difficult for those long-term urbanites. This is where the Regional Community Growth Co-ordinator will provide assistance, working with local community co-ordinators and human habitat designers to make regional areas vibrant and interesting for people of all ages and interests.
Regional Community Growth Co-ordinators will market regional benefits and attractions to urbanites, encouraging them to re-locate. They will also market opportunities to regional organisations to ensure ongoing regional viability, distributed workforces, community collaborations, and networks. Focussing on artistic communities and food production will be key in these roles.
The Regional Community Growth Coordinator will have marketing skills and be a high-level communicator. They will be digitally literate as much of their communication is mediated via online conferencing. They will also be highly organised and efficient networkers as they coordinate people, ideas, opportunities and organisations.","AOW1, AOW2, AOW8, AOW11","E, S",urban,,new
Robot ethicist,"Robot ethicists will address ethical issues associated with artificial intelligence, robots, cyborg technologies, and augmented/virtual reality.","Ethicists are ethics experts.
A Robot Ethicist will be concerned with the ethical issues that are associated with artificial intelligence, robots, cyborg technologies, and augmented/virtual reality.
When a new technology or scenario involves emerging and contentious methods and applications where there are ethical or moral implications, an ethicist is frequently asked to provide input. They impart unbiased interpretations to help governments, businesses, professionals and families make informed decisions.
Key topics with which Robot Ethicists engage include robot rights (that people have moral obligations towards machines, particularly AI), weaponisation of AI, and robot morality. The Robot Ethicist’s analysis and input are aimed at preventing legal claims and making people feel confident and informed in their decisions.
Robot Ethicists will understand logic and how it interacts with human emotions, beliefs and moral standards. They will listen to and comprehend a variety of different opinions based on multiple logical and philosophical approaches, and fairly assess them. They will have excellent analytical skills, and a contemporary understanding of ethics as applied to digital technologies.","AOW6, AOW7, AOW12, AOW15, AOW16, AOW17",I,tech,,new
Robot mechanic,Robot mechanics will maintain robots and autonomous vehicles to keep them running smoothly. ,"If your home assistance robot is malfunctioning, your autonomous car won’t start, or your ag robot has ground to a halt in the middle of its vertical crop field, what do you do?
You contact your robot mechanic! Robot Mechanics will maintain robots and autonomous vehicles to keep them running smoothly. Their work will include hardware maintenance and fixes (assisted by mechanic- assistance robots), but will also extend to electrical components, firmware and software updates and patches.
Remote and virtual assistance can also be part of this job, using augmented and virtual reality visualisation tools and robot self-repair systems.
Robot Mechanics will have great diagnostic skills, problem-solving skills, and practical technical skills, in terms of both robot machinery and software. They will have good customer service capabilities, and excellent time management and organisational capacities. They will often be freelance or work in small robot ‘garages’ (sometimes they offer mobile services), so need to be entrepreneurial in outlook.",AOW16,"R, C",tech,,new
Satellite network maintenance engineer,Satellite network maintenance engineers will be responsible for keeping the global wireless satellite network functioning.,"“In 2022, SpaceX launched 4,000 small satellites into low-Earth to beam back a high- speed wireless signal to everyone on Earth. From that date, everyone on earth had access to high-speed global internet”.
Satellite Network Maintenance Engineers will be responsible for keeping the global wireless satellite network functioning.
Using satellite self-repair tools and space drones to do routine maintenance, satellite network engineers will also upgrade software, firmware and hardware inside the satellites. They will progressively upgrade the network using new satellite technologies that yield a stronger signal and need less maintenance.
Satellite Network Maintenance Engineers will have great diagnostic and problem- solving skills. They will have technical skills in satellite technology, and may have formal qualifications in aerospace, mechanical, or electrical engineering. They will have an understanding of spacecraft subsystems, satellite communication systems, spacecraft operations and ground control systems.","AOW13, AOW14, AOW16, AOW18","R, C, I",tech,,new
Shadowtech manager,"Shadowtech managers will work in large organisations, managing technology that is used by employees but is not officially endorsed by the organisation.","Shadowtech Managers will work in large organisations to manage technology used by employees that is not officially endorsed by the organisation.
Use of software and devices that are not officially endorsed can lead to compatibility challenges, data back-up issues, and even security breaches. However, because everyone in the future will have their own virtual personal assistant, biological digital implants, and support robots, it is inevitable that people will be using technology that isn’t endorsed.
The Shadowtech Manager will be there to manage the company’s ‘BYO-robot’ policy, and to facilitate the secure integration of an enormously wide variety of shadowtech that is being used. Shadowtech Managers will specialise in systems integration and compatibility. They will have expertise in network security, and the functions and vulnerabilities of the massive array of devices, implants, virtual assistants and robots that employees are likely to own. Shadowtech managers will be good at complex problem-solving, and will be highly digitally literate.","AOW7, AOW12, AOW18","C, I",tech,,new
Sharing auditors,Sharing auditors will analyse homes and businesses for assets that can become part of the sharing economy.,"A Sharing Auditor will analyse homes and businesses for assets that can become part of the sharing economy.
The sharing economy is a peer-to-peer based system for acquiring, providing or sharing access to goods via an online platform. Owners rent out something they are not using, such as an autonomous car or spare household robot, to other people who need these things.
In the future, where there is a strong emphasis on minimising waste and maximising efficient use of resources, nearly everyone will share some of their belongings.
A Sharing Auditor will visit a home or business, and will advise on what people can rent out to others, and which sharing platforms to use. The owner will sign up for a sharing service, and then people will rent items from them. It will not be uncommon to see drones carrying furniture and robots between houses as part of the sharing economy.
Sharing Auditors will have sound judgment and good interpersonal skills. They are analytical, and know about the latest trends in the peer-to-peer sharing economy.","AOW1, AOW2, AOW6, AOW12, AOW14, AOW15, AOW16, AOW17, AOW18","R, C",buslaw,,new
Smart dust wrangler,"Smart dust wranglers will program swarms of 'smart dust' to assist with surveillance, ecology restoration, and pollution control.","Smart Dust Wranglers instruct and control the MEMS (tiny microelectromechanical systems) that make up smart dust.
These tiny sensors are less than the size of a grain of sand, and move about in swarms using tiny polymer wings. They collect data about any environment in which they are located, which is then beamed up through their mesh network to be analysed.
Smart Dust Wranglers work in many areas, including ecology restoration, where smart dust is used to monitor the natural environment; in smart cities, where smart dust monitors the air and water to keep toxins within safe levels; and in police surveillance, where smart dust can locate and track criminals and persons of interest.
Smart Dust Wranglers program the smart dust swarm. They choose the correct type of smart dust with the right sensors, and how many MEMS will be required for the particular job. They program the individual MEMS to detect certain types of data in the environment, then create a whole-of-swarm data collection program so that the data from thousands of MEMS can be mined to find an answer.”
Smart Dust Wranglers will have expertise in programming, data analytics and systems co-ordination. They will be analytical and have strong attention to detail. They will have knowledge and skills in their domain of specialisation (such as farming, smart cities monitoring, ecology restoration or policing). They may work with data scientists and artificial intelligence to analyse the data that has been collected. ","AOW3, AOW10, AOW11, AOW14, AOW18","C, I",tech,,
Space tourism operator,Space tourism operators will lead real-life tours across the solar system.,"Virtual tourism is now very popular, but sometimes there is no replacement for going to a place in person.
Space Tourism Operators make the most of this fact. They take shuttle-loads of tourists into orbit, to visit our space stations, and to our colonies on Mars.
Space Tourism Operators work with shuttle pilots, spaceport personnel, and space traffic control systems operators. They also work with marketing specialists and pre-tour health and fitness trainers. Some Space Tourism Operators specialise in leading tours for space restoration enthusiasts, who collect space junk left over from previous space missions to recycle and reuse. Other specialist tours are for space memorabilia collectors, who like to discover and explore abandoned spacecraft and satellites, and create a record of where they are.
Space Tourism Operators will have extensive knowledge of locations in our solar system. They will have strong logistical and organising skills to plan tours, and good marketing capabilities to advertise tours to the generic public. Space tourism operators will be healthy and fit, with a strong health and safety record. They will need excellent interpersonal skills and be quite entrepreneurial.","AOW2, AOW4, AOW8, AOW13","S, E",ex,,new
Sportsperson of the future,"Sportspeople of the future will engage in competitive sports, supported by the latest in technological advances.","While robot sports will be popular, the more conventional human-based sports will still exist in the future.
As in previous eras, sportspeople will train hard to improve their performance, and sport will remain highly competitive.
Technological advances will transform most sports, with high-tech track and field surfaces, maximum bounce shoes, and low-drag uniforms to push the boundaries of human limitations.
Mega-stadiums will allow fans to watch personalised feeds of their favourite players. Team members will be fitted with tiny earpieces so that they can communicate with one another and their coach during the game. Refereeing will be completely computerised.
As a Sportsperson of the Future, you will be fit, strong, fast and flexible, with excellent reflexes and quick decision-making capabilities. You will need good interpersonal skills to interact with your teammates, coach, and fans. You will need some data interpretation skills in order to make the most of the information that various sensors tell you about your performance and your body. Depending on the sport and its regulations, you may be allowed to have body implants to help enhance your performance, but if so this will be strictly controlled. You will need to be abreast of the latest in technological advances in your sport, so you can make the most of them.","AOW4, AOW14","R, S",ex,,
Sustainable energy solutions engineer,"Sustainable energy solutions engineers will design energy generation, storage, transport, and use systems that are efficient, sustainable and safe.","Developing energy sources that serve both current and future energy requirements without compromising our climate or environment is a job that will always exist and remain in high demand.
Renewable energy and energy efficiency continue to be essential considerations and yet, continue to provide significant challenges. Energy recapture is part of the solution.
Sustainable Energy Solutions Engineers will design energy generation, storage, transport, and use systems that are efficient, sustainable and safe.
New generation strategies are constantly being developed and tested and include strategies such as: solar, wind, bioluminescence, gravity, tides, bacteria and microbial fuel cells, biofuels, and hydrogen fuel cells. Storage chemistry is now well researched and in low cost production. The infrastructure around energy sharing has been updated and transformed into safe systems which focus on local generation and capable storage systems that no longer require statewide networks of unsightly and dangerous poles/wires.
The Sustainable Energy Solutions Engineer will be diversely capable with high-level science knowledge so that they can integrate systems to ensure maximum generation for each site. They will collaborate and communicate well as often they will work in teams that include the Regional Community Growth Coordinator to ensure that solutions are applied in regional contexts. They will also be creative and solutions orientated.","AOW1, AOW10, AOW11, AOW14, AOW19",I,urban,,new
